date,RF,Mkt-RF,SMB,HML,RMW,CMA,UMD,HML-DEVIL
199302,0.22,0.12,-3.45,6.42,-0.42,4.13,3.14,7.29%
199303,0.25,2.3,0.09,1.18,-0.15,0.9,3.73,0.38%
199304,0.24,-3.05,-0.85,2.49,-3.61,1.38,0.38,3.46%
199305,0.22,2.89,1.9,-3.42,-0.12,-1.04,0.22,-2.33%
199306,0.25,0.31,0.13,2.75,-0.92,1.21,4.55,1.52%
199307,0.24,-0.34,0.95,2.85,-1.87,2.06,3.16,2.78%
199308,0.25,3.71,0.1,0.13,-1.54,-0.04,2.65,-0.69%
199309,0.26,-0.12,2.98,-0.31,0.24,-0.16,3.37,-0.76%
199310,0.22,1.41,1.89,-2.76,0.57,0.6,-2.72,-0.02%
199311,0.25,-1.89,-1.27,-0.74,2.23,-0.94,-4.74,1.47%
199312,0.23,1.65,1.4,0.32,1.16,-0.34,2.36,0.49%
199401,0.25,2.87,-0.06,1.15,-1.66,1.43,0,2.24%
199402,0.21,-2.55,2.67,-1.54,2.14,-1,-0.3,-1.39%
199403,0.27,-4.78,-1.04,1.6,0.69,1.28,-1.27,1.88%
199404,0.27,0.68,-1.01,1.66,1.07,1.11,0.39,1.62%
199405,0.31,0.58,-2.56,0.67,0.6,0.68,-2.19,0.92%
199406,0.31,-3.03,-0.5,1.67,1.21,1.47,-0.87,1.95%
199407,0.28,2.82,-1.85,0.58,-0.65,0.14,0.18,1.86%
199408,0.37,4.01,1.37,-2.51,0.95,-1.47,1.55,-2.52%
199409,0.37,-2.31,2.8,-1.89,0.52,0.93,1.31,-2.11%
199410,0.38,1.34,-2.3,-1.62,0.23,-0.68,1.49,-2.14%
199411,0.37,-4.04,0.07,-0.7,0.42,-0.5,-0.18,-0.03%
199412,0.44,0.86,0,-0.13,0.37,0.38,3.48,0.18%
199501,0.42,1.8,-3.06,2.57,0.17,-0.75,-1.81,2.09%
199502,0.4,3.63,-0.54,1.08,0.59,-0.33,-0.39,0.87%
199503,0.46,2.19,-0.51,-2.15,-0.17,0.22,0.43,-1.95%
199504,0.44,2.11,-0.22,1.71,0.41,0.9,1.79,1.40%
199505,0.54,2.9,-2.19,2.29,0.39,0.04,-0.42,1.30%
199506,0.47,2.72,3.06,-2.54,-0.33,-2.44,2.93,-3.61%
199507,0.45,3.72,2.09,-1.62,0.3,-1.65,2.56,-2.73%
199508,0.47,0.55,1.75,2.79,-1.24,1.62,0.16,1.46%
199509,0.43,3.35,-1.88,-0.04,1.03,0.36,2.9,-1.12%
199510,0.47,-1.52,-4.04,-0.5,1.91,-0.05,4.16,-0.70%
199511,0.42,3.96,-1.07,0.51,-0.62,1.12,-0.68,-0.36%
199512,0.49,1.03,0.72,0.22,-1.37,3.1,2.52,0.52%
199601,0.43,2.26,-2.56,0.38,0.18,2.31,0.54,0.60%
199602,0.39,1.33,1.77,-1.08,0.24,-1.9,0.59,-2.45%
199603,0.39,0.73,1.61,0.35,1.42,-0.95,-1.84,1.83%
199604,0.46,2.06,4.71,-4.02,-0.14,-2.11,-0.88,-3.06%
199605,0.42,2.36,3.21,-0.83,0.12,-0.3,1.54,-2.40%
199606,0.4,-1.14,-3.65,2.35,3.51,1.22,0.98,2.68%
199607,0.45,-5.97,-3.81,5.14,2.95,2.6,-0.16,4.04%
199608,0.41,2.77,2.57,-0.74,-0.37,-2.42,0.01,-1.20%
199609,0.44,5.01,-1.39,-2.72,1.27,-2.22,2.7,-4.27%
199610,0.42,0.86,-3.77,4.94,1.4,3.25,3.79,3.12%
199611,0.41,6.25,-3.8,1.39,2.12,-0.79,-2.37,0.92%
199612,0.46,-1.7,3.25,1.31,0.37,1.49,0.63,1.25%
199701,0.45,4.99,-1.82,-1.42,1.19,-0.02,1.96,-2.53%
199702,0.39,-0.49,-2.59,5.67,0.67,3.47,-2.13,4.15%
199703,0.43,-5.03,-0.43,3.39,0.5,1.66,0.9,3.28%
199704,0.43,4.04,-5.7,0.07,3.26,-0.72,4.84,-2.13%
199705,0.49,6.74,4.75,-4.13,-1.02,-2.96,-5.17,-2.73%
199706,0.37,4.1,1.19,1.58,0.56,0.66,2.6,-0.77%
199707,0.43,7.33,-2.76,0.26,0.07,-2.58,3.77,-0.80%
199708,0.41,-4.15,7.61,1.18,-1.11,-0.04,-2.56,0.94%
199709,0.44,5.35,2.49,0.37,-1.63,-0.91,1.47,-1.01%
199710,0.42,-3.8,-0.52,2.27,1,1.94,-0.57,1.71%
199711,0.39,2.98,-5.11,1.2,2.81,1.84,0.33,-0.15%
199712,0.48,1.32,-2.03,3.84,0.74,1.92,3.98,1.88%
199801,0.43,0.15,-1.36,-1.63,0.87,-0.73,0.14,-0.60%
199802,0.39,7.04,0.2,-0.85,-0.31,-2.54,-1.12,-0.91%
199803,0.39,4.76,-0.65,1.39,-0.26,-0.37,2.15,0.49%
199804,0.43,0.73,0,0.94,-1.69,-0.36,0.74,0.23%
199805,0.4,-3.07,-2.95,3.44,1.1,2.61,1.82,2.67%
199806,0.41,3.18,-3.66,-1.96,-0.26,-2.97,7.28,-4.74%
199807,0.4,-2.46,-5.27,-1.78,1.74,0.45,3.69,-2.23%
199808,0.43,-16.08,-5.17,3.53,3.37,5.91,1.84,4.38%
199809,0.46,6.15,-0.78,-3.42,-1.88,-2.99,-0.81,-1.29%
199810,0.32,7.13,-3.43,-2.23,0.93,0.31,-5.37,-0.91%
199811,0.31,6.1,0.75,-3.25,-0.86,-1.18,1.2,-3.44%
199812,0.38,6.16,-1.56,-4.19,-0.76,-3.39,8.92,-7.08%
199901,0.35,3.5,-0.75,-4.6,-2.77,-6.8,3.03,-3.65%
199902,0.35,-4.08,-5.22,1.92,-1.23,4.1,-0.1,0.66%
199903,0.43,3.45,-4.23,-2.74,-4.07,-1.42,-1.27,0.09%
199904,0.37,4.33,4.52,2.46,-2.53,0.89,-9.04,8.35%
199905,0.34,-2.46,3.71,2.35,0.93,3.34,-5.19,3.49%
199906,0.4,4.77,2.29,-3.19,1.13,-3.21,5.06,-4.77%
199907,0.38,-3.49,2.57,-0.44,0.36,3.22,1.66,-0.57%
199908,0.39,-1.38,-1.73,-1.87,-0.24,0.64,3.12,-1.60%
199909,0.39,-2.79,2.59,-3.49,-0.75,-1.23,6.47,-5.30%
199910,0.39,6.12,-6.91,-3.37,-1.74,-1.19,5.5,-4.65%
199911,0.36,3.37,5.8,-6.12,-4.28,-1.74,5.64,-9.24%
199912,0.44,7.72,5.39,-8.33,-7.6,-5.63,13.22,-9.28%
200001,0.41,-4.74,4.42,-1.88,-6.29,4.72,1.92,-0.89%
200002,0.43,2.45,18.28,-9.59,-18.65,-0.48,18.2,-17.99%
200003,0.47,5.2,-15.32,8.13,11.79,-1.59,-6.83,5.59%
200004,0.46,-6.4,-5.01,7.26,7.66,5.65,-8.39,10.74%
200005,0.5,-4.42,-3.81,4.75,4.13,1.37,-8.98,5.66%
200006,0.4,4.64,9.92,-8.42,-8.31,-2.95,16.6,-14.05%
200007,0.48,-2.51,-1.03,8.31,5.83,2.94,-0.05,6.63%
200008,0.5,7.03,-1.03,-1.39,-3.22,1.1,5.73,-3.17%
200009,0.51,-5.45,0.19,7.17,2.56,5.53,1.97,4.41%
200010,0.56,-2.76,-2.65,5.71,9.61,3.8,-4.48,3.08%
200011,0.51,-10.72,-0.58,12.3,13.07,8.43,-2.32,6.52%
200012,0.5,1.19,3.26,7.61,1.71,4.79,6.74,2.12%
200101,0.54,3.13,5.48,-5.07,-4.69,-5.03,-25.3,12.96%
200102,0.38,-10.05,2.83,12.47,9.1,9.07,12.57,10.81%
200103,0.42,-7.26,2.33,6.42,3.35,3.92,8.55,4.00%
200104,0.39,7.94,-0.86,-4.67,-3.06,-3.2,-7.9,-5.43%
200105,0.32,0.72,3.6,3.36,0.25,1.91,2.21,2.96%
200106,0.28,-1.94,6.57,-1.12,1.6,-1.51,0.38,-1.30%
200107,0.3,-2.13,-2.82,5.21,7.42,3.07,5.58,1.66%
200108,0.31,-6.46,2.71,2.31,4.05,6.57,5.53,0.81%
200109,0.28,-9.25,-5.73,1.45,4.99,3.21,11.48,-3.49%
200110,0.22,2.46,5.27,-7.65,-2.98,-4.55,-8.47,-0.59%
200111,0.17,7.54,-0.31,2.21,-3.73,-1.61,-8.69,3.76%
200112,0.15,1.6,5.16,0.84,0.34,-0.26,0.07,1.86%
200201,0.14,-1.44,1.26,3.44,4.69,2.84,3.75,0.01%
200202,0.13,-2.29,-0.36,2.16,8.07,5.11,6.82,0.49%
200203,0.13,4.24,4.25,1.06,-1.78,0.58,-1.64,2.51%
200204,0.15,-5.2,6.72,3.88,4.56,5.38,7.63,1.94%
200205,0.14,-1.38,-3.02,1.53,2.36,2.44,3.16,0.16%
200206,0.13,-7.21,3.89,-0.05,3.93,2.51,6.03,-2.15%
200207,0.15,-8.18,-6.43,-3.85,3.79,-0.99,3.77,-4.14%
200208,0.14,0.5,-1.31,3.28,1.36,-1.47,1.9,0.57%
200209,0.14,-10.35,3.08,1.47,3.29,-2.19,9.13,-4.71%
200210,0.14,7.84,-4.31,-3.95,-3.39,0.76,-5.58,1.79%
200211,0.12,5.96,2.91,-1.23,-9.2,5.15,-16.33,11.37%
200212,0.11,-5.76,0.62,2.14,6.29,-1.68,9.64,-0.54%
200301,0.1,-2.57,0.7,-0.83,-0.99,0.69,1.55,0.50%
200302,0.09,-1.88,-0.93,-1.39,0.83,-0.62,1.17,-3.06%
200303,0.1,1.09,0.65,-1.93,1.87,-0.77,1.48,-1.93%
200304,0.1,8.22,1.02,1.14,-4.68,1.06,-9.33,6.35%
200305,0.09,6.05,4.81,0.4,-7,2.91,-10.7,7.06%
200306,0.1,1.42,1.66,0.11,0.51,-0.38,-1,1.58%
200307,0.07,2.35,4.54,-1.24,-4.14,1.78,-0.24,-1.95%
200308,0.07,2.34,2.48,1.53,-2.25,2.14,-0.62,1.57%
200309,0.08,-1.24,0.54,0.16,1.01,0.34,-0.19,1.06%
200310,0.07,6.08,2.71,1.97,-1.35,1.55,3.99,0.66%
200311,0.07,1.35,2.33,1.78,0.19,1.81,1.46,1.03%
200312,0.08,4.29,-2.49,1.6,0.56,0.94,-5.57,5.39%
200401,0.07,2.15,2.45,2.49,-3.66,3.38,2.58,0.23%
200402,0.06,1.4,-0.93,0.9,2.17,-1.21,-1.14,0.90%
200403,0.09,-1.32,2.1,0.27,1.56,-0.98,0.17,0.64%
200404,0.08,-1.83,-2.01,-3.1,3.45,-2.84,-5.38,1.07%
200405,0.06,1.17,-0.38,-0.25,-1.18,0.03,1.5,-1.15%
200406,0.08,1.86,2.56,1.18,1.2,-0.39,2.05,2.31%
200407,0.1,-4.06,-2.95,3.24,5.32,-1.66,-2.29,3.50%
200408,0.11,0.08,-1.13,0.97,1.23,-1.47,-1.59,0.84%
200409,0.11,1.6,3.27,0,-1.49,-1.88,5.49,-0.78%
200410,0.11,1.43,0.19,-0.22,-0.52,0.49,-1.38,0.07%
200411,0.15,4.54,4.11,1.41,-0.58,-0.22,3.16,2.01%
200412,0.16,3.43,-0.05,-0.22,-1.16,0.46,-2.87,1.06%
200501,0.16,-2.76,-1.17,2.06,2.74,-1.46,3.05,0.19%
200502,0.16,1.89,-0.31,1.54,1.43,-0.05,3.37,0.69%
200503,0.21,-1.97,-1.42,2.04,0.47,1.29,0.41,2.09%
200504,0.21,-2.61,-3.98,0.07,0.97,-0.94,-0.69,-0.95%
200505,0.24,3.65,2.79,-0.64,-1,0.3,0.45,-0.63%
200506,0.23,0.57,3.28,2.83,0.96,-0.51,2.05,1.42%
200507,0.24,3.92,2.81,-0.79,-1.19,-0.82,0.06,-0.33%
200508,0.3,-1.22,-0.89,1.32,-2.05,0.37,2.08,0.19%
200509,0.29,0.49,-0.34,0.71,0.27,-0.6,3.43,-0.54%
200510,0.27,-2.02,-1.45,0.42,-0.93,-1.3,-1.39,-0.25%
200511,0.31,3.61,0.84,-1.16,-0.76,-1.14,0.35,-0.50%
200512,0.32,-0.25,-0.2,0.2,0.21,0.23,0.77,0.46%
200601,0.35,3.04,5.75,1.08,-0.64,-0.46,2.53,-0.99%
200602,0.34,-0.3,-0.42,-0.34,-0.51,1.91,-1.84,1.02%
200603,0.37,1.46,3.38,0.6,0.06,-0.41,1.26,-0.82%
200604,0.36,0.73,-0.84,2.34,1.8,0.01,0.64,1.30%
200605,0.43,-3.57,-2.85,2.41,1.15,1.46,-3.7,2.56%
200606,0.4,-0.35,-0.24,0.85,1.32,-0.07,1.54,0.25%
200607,0.4,-0.78,-3.63,2.6,1.63,0.9,-2.12,2.33%
200608,0.42,2.03,0.44,-2.06,-1.86,2.09,-3.38,-0.50%
200609,0.41,1.84,-1.46,0.08,0.82,0.6,-0.96,0.52%
200610,0.41,3.23,1.98,-0.31,-0.12,0.28,-0.2,0.28%
200611,0.42,1.71,0.71,0.14,0.15,-0.8,-1.03,0.05%
200612,0.4,0.87,-0.81,2.73,-0.72,2.06,0.79,2.49%
200701,0.44,1.4,0.07,-0.68,0.25,0.38,0.24,-0.33%
200702,0.38,-1.96,1.29,-0.14,-0.51,-0.71,-1.35,0.50%
200703,0.43,0.68,0.2,-0.97,0.64,-0.65,2.56,-0.59%
200704,0.44,3.49,-2.04,-1.45,1.15,1.03,-0.24,-0.69%
200705,0.41,3.24,0.4,-0.65,1.58,-1.36,-0.34,0.05%
200706,0.4,-1.96,0.74,-1.05,0.53,0.08,0.51,-1.18%
200707,0.4,-3.73,-2.99,-3.71,0.2,-1.13,2.94,-4.46%
200708,0.42,0.92,-0.37,-1.86,-1.21,-0.53,0.1,-1.75%
200709,0.32,3.22,-2.44,-2.21,-0.52,-3.02,4.63,-2.82%
200710,0.32,1.8,-0.08,-2.98,-0.3,-0.09,5.02,-5.17%
200711,0.34,-4.83,-3.02,-0.94,1.89,-0.29,0.99,-1.76%
200712,0.27,-0.87,0.15,-0.55,0.87,-1.05,6.63,-2.24%
200801,0.21,-6.36,-0.65,3.97,2.14,2.14,-7.75,7.96%
200802,0.13,-3.09,-0.66,-0.84,0.88,-0.93,6.1,-4.30%
200803,0.17,-0.93,0.56,0.3,0.79,0.5,4.27,-0.97%
200804,0.18,4.6,-1.2,-0.94,1.64,-2.47,-0.31,-0.85%
200805,0.18,1.86,3.02,-1.43,0.93,-0.06,3.31,-5.26%
200806,0.17,-8.44,1.18,-2.71,4.96,-0.55,12.75,-9.08%
200807,0.15,-0.77,3.72,5.42,-1.37,1.08,-5.13,4.54%
200808,0.13,1.53,3.46,1.59,1.86,0.84,-4.02,3.72%
200809,0.15,-9.24,0.25,5.91,2.41,1.78,0.28,1.81%
200810,0.08,-17.23,-3.34,-2.3,3.04,2.05,7.85,-6.01%
200811,0.03,-7.86,-3.89,-6.31,4.53,2.75,7.17,-7.64%
200812,0,1.74,3.29,0.14,0.06,-1.49,-5.09,5.37%
200901,0,-8.12,-2.14,-11.29,0.18,-1.17,-2.18,-5.37%
200902,0.01,-10.1,-1.32,-6.95,1.19,-1.02,4.41,-9.14%
200903,0.02,8.95,0.67,3.47,-2.52,-2.25,-11.87,7.65%
200904,0.01,10.18,7.13,5.36,1.31,0.13,-34.3,26.86%
200905,0,5.21,-2.32,0.28,-0.78,-2.17,-12.49,6.10%
200906,0.01,0.43,2.29,-2.73,-1.41,-0.33,5.48,-2.09%
200907,0.01,7.72,2.39,4.83,-0.46,3.14,-5.55,6.01%
200908,0.01,3.33,-0.09,7.63,-3.02,3.34,-9.07,7.93%
200909,0.01,4.08,2.73,1.05,1.31,0.36,-4.79,1.83%
200910,0,-2.59,-4.93,-4.21,4.17,-1.51,2.61,-1.65%
200911,0,5.56,-2.68,-0.34,1,0.12,0.3,-0.66%
200912,0.01,2.75,6.24,-0.17,1.02,-0.09,3.01,0.07%
201001,0,-3.36,0.34,0.43,-1.27,0.46,-5.4,3.28%
201002,0,3.4,1.51,3.23,-0.27,1.43,3.74,0.82%
201003,0.01,6.31,1.85,2.21,-0.65,1.69,3.76,2.06%
201004,0.01,2,4.98,2.89,0.69,1.72,3.16,2.73%
201005,0.01,-7.89,0.04,-2.44,1.3,-0.21,-0.25,-1.71%
201006,0.01,-5.57,-2.47,-4.7,-0.16,-1.55,-2.76,-2.57%
201007,0.01,6.93,0.12,-0.31,0.24,2.01,1.88,1.94%
201008,0.01,-4.77,-3.15,-1.9,0.53,-1.59,-0.06,-1.50%
201009,0.01,9.54,3.75,-3.16,-0.21,0.38,1.41,-1.39%
201010,0.01,3.88,0.8,-2.43,1.19,-0.26,1.58,-1.86%
201011,0.01,0.6,3.67,-0.96,0.45,1.59,2.66,-1.14%
201012,0.01,6.82,1.03,3.7,-3.44,3.16,-3.03,3.79%
201101,0.01,1.99,-2.43,0.83,-0.76,0.83,-0.29,1.08%
201102,0.01,3.49,1.65,1.27,-1.94,0.88,1.99,0.19%
201103,0.01,0.46,2.62,-1.83,1.76,-0.03,3.4,-1.59%
201104,0,2.9,-0.55,-2.43,1.01,-0.8,0.04,-1.67%
201105,0,-1.27,-0.63,-2.12,2.08,-1.59,-0.62,-1.03%
201106,0,-1.75,0.16,-0.42,2.49,-1.53,1.78,-1.01%
201107,0,-2.35,-1.2,-0.9,2.68,-1.81,0.18,-1.78%
201108,0.01,-5.99,-3.2,-2.36,3.3,-0.38,-0.28,-2.15%
201109,0,-7.59,-3.66,-1.72,2.04,0.24,-2.42,-1.99%
201110,0,11.35,3.46,0.1,-2.16,-0.86,-1.43,2.21%
201111,0,-0.28,-0.28,-0.46,1.86,1.49,3.84,-1.24%
201112,0,0.74,-0.33,1.63,0.98,2.52,1.81,1.48%
201201,0,5.05,2.06,-0.97,-2.01,-1.43,-7.91,0.95%
201202,0,4.42,-1.71,0.43,-0.48,-0.01,-0.29,0.67%
201203,0,3.11,-0.47,1.14,-0.54,0.74,1.3,-0.33%
201204,0,-0.85,-0.55,-0.78,1.3,0.65,3.75,-1.58%
201205,0.01,-6.19,-0.12,-1.07,2.08,2.31,6.49,-1.33%
201206,0,3.89,0.84,0.62,-1.09,0.46,-1.06,0.43%
201207,0,0.79,-2.78,-0.02,1.1,0.05,3.04,-0.66%
201208,0.01,2.55,0.44,1.3,-1.33,-0.84,-2.37,1.22%
201209,0.01,2.73,0.61,1.6,-1.49,1.55,-1.14,1.25%
201210,0.01,-1.76,-0.89,3.59,-1.34,2.5,0.14,3.23%
201211,0.01,0.78,0.46,-0.84,0.6,0.84,0.49,-0.94%
201212,0.01,1.18,1.89,3.51,-1.85,0.91,-2.86,2.85%
201301,0,5.57,0.48,0.96,-1.93,1.41,-1.79,1.15%
201302,0,1.29,-0.25,0.11,-0.67,0.52,1.29,-0.10%
201303,0,4.03,0.85,-0.19,0.14,1.38,1.92,-0.26%
201304,0,1.55,-2.25,0.45,0.27,0.37,0.22,-0.16%
201305,0,2.8,2.06,2.63,-1.97,-0.87,-2.02,1.29%
201306,0,-1.2,1.57,0.03,-0.38,0,0.52,0.06%
201307,0,5.65,1.81,0.57,-1.35,0.51,1.76,0.67%
201308,0,-2.71,-0.06,-2.69,0.66,-2.16,0.02,-0.90%
201309,0,3.77,2.63,-1.22,-0.58,-1.36,3.06,-1.40%
201310,0,4.18,-1.48,1.25,2.78,0.87,0.08,0.72%
201311,0,3.13,1.41,0.32,0.14,0.04,0.44,-0.52%
201312,0,2.81,-0.45,-0.02,-0.46,0.09,0.02,-0.51%
201401,0,-3.32,0.58,-2.07,-3.88,-1.42,1.71,-0.90%
201402,0,4.65,0.14,-0.31,-0.23,-0.45,2.07,-0.95%
201403,0,0.43,-1.09,4.93,2.13,1.92,-3.29,3.44%
201404,0,-0.19,-4.12,1.17,3.48,1.02,-3.89,2.43%
201405,0,2.06,-1.89,-0.13,0.05,-1,0.87,-0.44%
201406,0,2.61,3.11,-0.7,-1.89,-2,0.69,-0.26%
201407,0,-2.04,-4.29,0.03,0.89,0.52,-0.12,0.20%
201408,0,4.24,0.31,-0.45,-0.64,-0.7,0.82,-0.99%
201409,0,-1.97,-3.72,-1.34,1.3,-0.51,0.5,-2.50%
201410,0,2.52,3.73,-1.81,-0.57,-0.11,-0.06,-2.42%
201411,0,2.55,-2.28,-3.09,1.5,0.27,0.69,-3.03%
201412,0,-0.06,2.86,2.27,-1.22,0.96,1.12,-0.03%
201501,0,-3.11,-0.92,-3.58,1.61,-1.65,3.84,-3.91%
201502,0,6.13,0.32,-1.86,-1.12,-1.82,-2.82,-0.20%
201503,0,-1.12,3.07,-0.37,0.09,-0.52,2.74,-2.26%
201504,0,0.59,-3.09,1.82,0.06,-0.61,-7.27,4.40%
201505,0,1.36,0.83,-1.14,-1.79,-0.74,5.82,-3.43%
201506,0,-1.53,2.9,-0.79,0.44,-1.58,3.01,-2.43%
201507,0,1.54,-4.55,-4.13,0.3,-2.41,9.98,-5.72%
201508,0,-6.04,0.25,2.77,0.68,1.19,-2.09,1.97%
201509,0,-3.07,-2.79,0.56,1.77,-0.58,5.22,-2.54%
201510,0,7.75,-2.07,-0.46,0.88,0.52,-3.28,0.51%
201511,0,0.56,3.31,-0.42,-2.75,-0.99,2.28,-2.65%
201512,0.01,-2.17,-2.99,-2.61,0.5,-0.02,3.36,-3.51%
201601,0.01,-5.77,-3.47,2.09,2.82,3.08,1.44,-0.63%
201602,0.02,-0.07,0.88,-0.57,3.25,2.02,-4.38,2.21%
201603,0.02,6.96,1.07,1.19,0.77,-0.08,-5.01,7.13%
201604,0.01,0.91,1.23,3.28,-2.97,1.9,-6.02,8.55%
201605,0.01,1.78,-0.61,-1.66,-1.09,-2.48,1.42,-3.70%
201606,0.02,-0.05,0.45,-1.48,1.4,1.94,4.13,-0.64%
201607,0.02,3.95,2.48,-1.32,1.26,-1.18,-3.34,-1.86%
201608,0.02,0.49,1.68,3.18,-1.85,-0.34,-3.49,1.38%
201609,0.02,0.25,1.85,-1.24,-2.21,0.03,0.19,-0.33%
201610,0.02,-2.02,-4.02,4.09,0.93,0.28,0.6,2.65%
201611,0.01,4.86,7.07,8.21,-0.18,3.7,-4.62,5.22%
201612,0.03,1.81,0.41,3.53,1.22,-0.23,-0.26,2.79%
201701,0.04,1.94,-1.46,-2.75,-0.49,-0.99,-0.93,-0.55%
201702,0.04,3.57,-2.22,-1.67,0.47,-1.83,-1.65,-1.74%
201703,0.03,0.17,0.74,-3.35,0.61,-0.94,-1.02,-2.60%
201704,0.05,1.09,0.48,-2.13,1.9,-1.6,0.48,-2.59%
201705,0.06,1.06,-3.06,-3.78,0.95,-1.79,1.48,-4.78%
201706,0.06,0.78,2.58,1.48,-2.22,0,-0.09,1.71%
201707,0.07,1.87,-1.69,-0.31,-0.64,-0.2,1.68,-0.22%
201708,0.09,0.16,-1.82,-2.09,0.14,-2.38,3.26,-2.71%
201709,0.09,2.51,4.78,3.14,-1.47,1.69,-1.32,2.23%
201710,0.09,2.25,-1.94,0.2,0.93,-3.25,4.27,-2.48%
201711,0.08,3.12,-0.33,-0.03,3.16,-0.05,-0.87,-0.12%
201712,0.09,1.06,-1.07,0.06,0.74,1.69,-1.54,1.67%
201801,0.12,5.57,-3.18,-1.29,-0.76,-0.96,4.05,-2.66%
201802,0.11,-3.65,0.32,-1.04,0.52,-2.37,3.58,-3.19%
201803,0.11,-2.35,3.59,-0.21,-0.46,0.01,-1.13,0.86%
201804,0.14,0.28,0.93,0.54,-2.42,1.3,0.36,2.15%
201805,0.14,2.65,4.73,-3.2,-2.04,-1.5,3.89,-3.27%
201806,0.14,0.48,0.8,-2.34,0.79,0.24,-2.35,0.21%
201807,0.16,3.19,-1.93,0.47,1.56,0.35,-1.41,0.25%
201808,0.16,3.44,0.64,-3.94,-0.31,-2.7,5.29,-4.81%
201809,0.15,0.06,-2.48,-1.7,0.63,1.29,0.04,-0.13%
201810,0.19,-7.68,-4.46,3.4,0.94,3.59,-1.99,3.35%
201811,0.18,1.69,-0.77,0.3,-0.55,0.39,-1.37,-1.41%
201812,0.2,-9.57,-2.88,-1.84,-0.02,0.21,2.11,-2.51%
201901,0.21,8.4,3.03,-0.46,-0.8,-1.51,-8.68,3.03%
201902,0.18,3.4,1.74,-2.67,0.12,-1.59,0.86,-2.83%
201903,0.19,1.1,-3.51,-4.17,0.9,-0.95,2.21,-2.55%
201904,0.21,3.97,-1.17,2.15,1.61,-2.22,-2.97,0.65%
201905,0.21,-6.94,-1.59,-2.37,-0.46,1.77,7.56,-3.89%
201906,0.18,6.93,0.37,-0.71,0.9,-0.44,-2.3,-0.25%
201907,0.19,1.19,-1.78,0.48,-0.08,0.36,2.89,-1.01%
201908,0.16,-2.58,-3.24,-4.78,0.56,-0.68,6.92,-5.21%
201909,0.18,1.43,0.27,6.75,1.84,3.37,-6.81,5.96%
201910,0.16,2.06,0.26,-1.91,0.44,-0.96,0.15,-2.45%
201911,0.12,3.87,0.44,-2.02,-1.59,-1.24,-2.66,-1.81%
201912,0.14,2.77,0.97,1.75,0.01,1.24,-1.77,3.39%
202001,0.13,-0.11,-4.38,-6.25,-1.17,-2.32,5.98,-8.40%
202002,0.12,-8.13,0.04,-3.81,-1.47,-2.51,-0.4,-3.06%
202003,0.13,-13.39,-8.28,-13.87,-1.57,1.24,7.97,-14.50%
202004,0,13.65,2.56,-1.33,2.72,-1,-5.23,10.46%
202005,0.01,5.58,1.97,-4.88,0.95,-3.26,0.43,-3.64%
202006,0.01,2.46,1.96,-2.2,0.09,0.54,-0.73,-0.31%
202007,0.01,5.77,-3.2,-1.41,0.41,1.02,7.61,-4.91%
202008,0.01,7.63,-0.89,-2.97,4.28,-1.19,0.55,-0.28%
202009,0.01,-3.63,0.01,-2.71,-1.36,-1.85,3.12,-3.14%
202010,0.01,-2.1,4.64,4.25,-0.83,-0.78,-3.05,3.12%
202011,0.01,12.47,7.11,2.09,-2.2,1.4,-12.43,12.52%
202012,0.01,4.63,4.79,-1.51,-1.96,-0.12,-2.32,-0.48%
202101,0.01,-0.03,6.94,3.01,-3.78,4.94,4.5,0.54%
202102,0,2.78,4.54,7.15,0.39,-1.94,-7.89,10.15%
202103,0,3.08,-0.88,7.39,6.36,3.42,-6.14,6.51%
202104,0,4.93,-3.16,-0.95,2.44,-2.7,1.16,0.14%
202105,0,0.29,1.22,7.09,2.45,3.04,0.88,6.64%
202106,0,2.75,-0.34,-7.87,-2.14,-0.94,2.2,-4.97%
202107,0,1.27,-4.61,-1.78,5.46,-0.52,-2.28,-1.07%
202108,0,2.91,-0.68,-0.15,-0.28,-1.79,2.45,-1.09%
202109,0,-4.37,1.12,5.08,-1.96,2.1,1.49,5.44%
202110,0,6.65,-2.7,-0.49,1.66,-1.45,3.19,-1.58%
202111,0,-1.55,-1.77,-0.45,7.2,1.73,0.88,-2.06%
202112,0.01,3.1,-0.8,3.26,4.91,4.4,-2.6,3.77%
202201,0,-6.25,-4.06,12.75,0.84,7.72,-2.6,12.39%
202202,0,-2.29,2.92,3.08,-2.09,3.12,1.76,2.64%
202203,0.01,3.05,-2.17,-1.81,-1.53,3.14,3.01,-0.14%
202204,0.01,-9.46,-0.39,6.17,3.52,5.89,4.87,4.31%
202205,0.03,-0.34,-0.06,8.39,1.56,3.97,2.43,6.65%
202206,0.06,-8.43,1.3,-5.97,1.81,-4.69,0.75,-1.88%
202207,0.08,9.57,1.82,-4.05,0.82,-6.83,-3.95,-3.50%
202208,0.19,-3.77,1.52,0.29,-4.75,1.29,2.04,-0.06%
202209,0.19,-9.35,-1.05,0.05,-1.51,-0.8,3.51,-2.78%
202210,0.23,7.83,1.89,8.01,3.34,6.64,3.96,4.97%
202211,0.29,4.6,-2.74,1.38,6.38,3.18,-1.98,2.36%
202212,0.33,-6.41,-0.15,1.37,0.25,4.2,4.55,-0.47%
202301,0.35,6.65,4.41,-4.01,-2.44,-4.47,-16.01,4.79%
