date,RF,Mkt-RF,SMB,HML,RMW,CMA,UMD,HML-DEVIL
197004,0.5,-11,-6.4,6.18,-0.64,6.21,-0.77,5.79%
197005,0.53,-6.92,-4.48,3.33,-1.21,3.9,-2.78,4.38%
197006,0.58,-5.79,-2.2,0.6,0.13,2.96,5.7,-1.08%
197007,0.52,6.93,-0.62,0.9,-0.26,1.84,-3.14,2.46%
197008,0.53,4.49,1.52,1.15,0.56,-0.21,-6.55,2.56%
197009,0.54,4.18,8.51,-5.47,0.3,-5.83,-8.8,-2.45%
197010,0.46,-2.28,-4.43,0.22,1.71,2.34,9.42,-1.56%
197011,0.46,4.6,-3.86,1.69,1.57,1.47,2.73,0.76%
197012,0.42,5.72,2.94,1,0.27,0.3,-2.23,3.29%
197101,0.38,4.84,7.54,1.33,-1.99,0.07,-6.51,3.82%
197102,0.33,1.41,2.04,-1.23,0.62,-0.7,0.79,-1.31%
197103,0.3,4.13,2.26,-3.95,1.82,-2.71,-1.41,-3.25%
197104,0.28,3.15,-0.36,0.69,-1.47,0.87,1.41,0.60%
197105,0.29,-3.98,-1.11,-1.44,1.4,0.25,0.86,-1.73%
197106,0.37,-0.1,-1.48,-1.87,1.53,-1.64,2.73,-1.40%
197107,0.4,-4.5,-1.39,0.02,0.64,1.46,-2.35,0.64%
197108,0.47,3.79,-0.16,2.63,-0.43,2.64,3.61,0.03%
197109,0.37,-0.85,0.28,-2.91,2.56,-1.58,2.12,-2.93%
197110,0.37,-4.42,-1.6,-0.48,1.62,-1.35,0.47,-0.43%
197111,0.37,-0.46,-2.86,-1.68,2.44,-0.34,1.51,-1.77%
197112,0.37,8.71,3.27,-0.4,-0.4,-1.75,-0.58,0.33%
197201,0.29,2.49,6.1,2.24,-1.69,0.55,0.17,1.19%
197202,0.25,2.87,0.87,-2.79,1.61,-0.52,2.54,-3.34%
197203,0.27,0.63,-0.43,-1.61,1.63,-0.18,2.94,-2.76%
197204,0.29,0.29,0.23,0.12,-0.42,-1.03,2.81,-0.81%
197205,0.3,1.25,-3.1,-2.7,2.34,-1.95,3.29,-2.35%
197206,0.29,-2.43,-0.43,-2.48,1.88,-0.36,1.9,-0.84%
197207,0.31,-0.8,-2.77,0.66,1.14,-0.66,2.75,-0.08%
197208,0.29,3.26,-3.48,4.54,-1.96,2.85,-5.4,5.32%
197209,0.34,-1.14,-2.23,0.46,1.68,-1.97,1.82,-0.42%
197210,0.4,0.52,-2.54,1.34,-0.15,0.02,0.71,1.19%
197211,0.37,4.6,-0.62,4.85,-1.95,3.37,-5.09,5.93%
197212,0.37,0.62,-1.89,-2.19,2.6,-2.16,4.92,-3.47%
197301,0.44,-3.29,-2.81,2.68,0.42,0.9,3.73,1.41%
197302,0.41,-4.85,-3.91,1.6,-0.26,0.02,2.16,1.35%
197303,0.46,-1.3,-2.33,2.62,-1.07,0.62,3.59,2.28%
197304,0.52,-5.68,-2.9,5.41,-1.58,2.6,6.36,4.29%
197305,0.51,-2.94,-6.17,0.41,1.95,-1.57,7.14,-1.87%
197306,0.51,-1.57,-2.48,1.2,-0.21,0.11,4.3,0.55%
197307,0.64,5.05,7.26,-5.31,-0.05,-3.28,-11.57,-0.63%
197308,0.7,-3.82,-1.84,1.24,-1.31,1.3,3.46,0.51%
197309,0.68,4.75,3.6,2.01,-2.33,1.77,-7,4.52%
197310,0.65,-0.83,-0.38,1.94,-1.9,2.71,6.87,-1.28%
197311,0.56,-12.75,-7.28,3.87,-2.63,1.73,8.66,1.69%
197312,0.64,0.61,-4.69,3.85,-2.78,2.48,10.38,0.86%
197401,0.63,-0.17,10.41,6.02,-3.07,4.42,-8.85,12.24%
197402,0.58,-0.47,0.06,2.81,-1.87,2.63,0.32,2.87%
197403,0.56,-2.81,2.65,-0.32,2.8,0.44,-1.05,1.20%
197404,0.75,-5.29,-0.7,0.85,2.87,2.09,2.11,-0.69%
197405,0.75,-4.68,-3.07,-2.02,4.95,-0.42,-0.39,-1.74%
197406,0.6,-2.83,0,0.77,0.57,2.94,2.31,-0.64%
197407,0.7,-8.05,1.92,5.16,-3.25,4.6,3.11,5.78%
197408,0.6,-9.35,0.26,2.64,-0.28,2.59,3,1.89%
197409,0.81,-11.77,1.48,5.58,-4.44,5.91,4.24,6.61%
197410,0.51,16.1,-6.82,-9.87,-0.21,-2.86,-0.54,-7.44%
197411,0.54,-4.51,-1.48,-0.2,-3.37,2.92,2.13,-0.35%
197412,0.7,-3.45,-4.35,0.11,-0.68,3.25,2.92,-0.34%
197501,0.58,13.66,12.91,8.28,-0.78,-0.9,-13.82,18.45%
197502,0.43,5.56,-0.65,-4.44,1.16,-2.1,-0.61,-5.56%
197503,0.41,2.66,4,2.38,1.26,-1.33,-2.04,3.56%
197504,0.44,4.23,-0.71,-1.14,1.41,-1.34,1.38,-3.66%
197505,0.44,5.19,2.89,-4.1,-0.98,-0.6,-0.58,0.61%
197506,0.41,4.83,1.43,1.38,-2.66,1.06,0.04,4.04%
197507,0.48,-6.59,3.44,1.69,0.46,1.22,0.42,3.58%
197508,0.48,-2.85,-2.84,-0.95,1.11,-0.93,-0.1,-0.11%
197509,0.53,-4.26,0.05,0.39,0.53,0.55,0.41,0.64%
197510,0.56,5.31,-4.23,0.28,-0.49,2.26,-0.16,-1.34%
197511,0.41,2.64,-1.09,2.03,-0.68,1.75,-0.45,0.83%
197512,0.48,-1.6,-0.05,1.69,-0.09,0.57,-0.11,3.41%
197601,0.47,12.16,6.34,8.63,-1.79,2.28,4.45,6.64%
197602,0.34,0.32,7.99,5.87,-2.64,3.87,0.38,5.07%
197603,0.4,2.32,-1.38,-0.12,-0.33,0.96,0.15,0.66%
197604,0.42,-1.49,0.08,-0.16,0.4,-1.1,0.59,2.40%
197605,0.37,-1.34,-1.1,-1.36,2.46,-1.41,-1.12,-0.01%
197606,0.43,4.05,-1.07,0.71,-0.68,1.02,-0.42,0.37%
197607,0.47,-1.07,0.63,1.73,-1.05,0.28,-0.13,2.30%
197608,0.42,-0.56,-1.98,0.81,-0.42,-0.55,-0.85,1.38%
197609,0.44,2.07,0.1,-0.29,0.98,-1.15,0.22,0.09%
197610,0.41,-2.42,0.13,-0.18,-0.19,-0.37,-0.44,0.29%
197611,0.4,0.36,2.66,1.51,-1.41,0.09,2.91,1.36%
197612,0.4,5.65,3.64,2.27,-0.61,2.28,0.73,3.55%
197701,0.36,-4.05,5.9,4.27,-0.51,1.97,4,5.14%
197702,0.35,-1.94,1.07,0.47,-0.16,-0.22,0.36,0.33%
197703,0.38,-1.37,1.31,1.09,-0.3,-0.06,0.55,0.79%
197704,0.38,0.15,0.61,3.38,-2.01,1.14,4.21,2.56%
197705,0.37,-1.45,1.31,0.85,0.33,0.19,2.03,0.85%
197706,0.4,4.71,2.08,-0.74,0.91,-1.2,1.66,-1.82%
197707,0.42,-1.69,1.88,-0.56,0.73,0.09,0.32,1.25%
197708,0.44,-1.75,0.86,-2.7,0.98,-0.66,-1.7,-3.15%
197709,0.43,-0.27,1.43,-0.52,1.43,-0.84,2,-0.24%
197710,0.49,-4.38,1.48,1.75,-0.2,-0.3,-0.08,1.37%
197711,0.5,4,3.64,0.26,-0.13,0.73,2.01,0.18%
197712,0.49,0.27,1.59,-0.29,0.92,-0.69,1.58,-0.24%
197801,0.49,-6.01,2.72,3.36,-1.72,1.52,-0.66,2.93%
197802,0.46,-1.38,3.7,0.83,0.3,1.01,1.97,0.49%
197803,0.53,2.85,3.71,1.18,-0.59,1.89,1.37,2.35%
197804,0.54,7.88,-0.26,-3.54,2.81,-1.26,0.86,-3.98%
197805,0.51,1.76,4.58,-0.52,0.22,0.41,2.83,-1.51%
197806,0.54,-1.69,1.56,0.57,-1.4,-0.07,2.74,-0.51%
197807,0.56,5.11,0.12,-1.15,1.55,-0.78,4.17,-3.00%
197808,0.56,3.75,4.95,-0.51,1.43,0.46,2.83,-0.43%
197809,0.62,-1.43,-0.32,1.89,-0.67,1.78,-3.14,4.03%
197810,0.68,-11.91,-10.02,1.38,0.12,0.94,-8.46,4.36%
197811,0.7,2.71,2.81,-2.15,1.13,-1.17,5.45,-1.80%
197812,0.78,0.88,1.13,-2.13,2.01,-1.32,3.03,-3.01%
197901,0.77,4.23,3.78,2.19,-2.47,1.52,-1.36,4.19%
197902,0.73,-3.56,0.54,1.17,-1.12,0.94,-1.06,2.11%
197903,0.81,5.68,3.24,-0.71,0.53,0.32,2.93,-1.58%
197904,0.8,-0.06,2.37,1.12,1.08,0.17,0.81,-0.24%
197905,0.82,-2.21,0.18,1.31,-1.54,-0.27,-0.54,1.54%
197906,0.81,3.85,1,1.44,-1.66,-0.52,0.84,0.48%
197907,0.77,0.82,1.27,1.86,-0.29,0.71,-1.07,1.39%
197908,0.77,5.53,1.92,-1.58,1.62,-1.48,-0.2,-1.97%
197909,0.83,-0.82,-0.32,-0.9,1.01,0.32,5.28,-1.15%
197910,0.87,-8.1,-3.5,-1.84,1.01,0.07,2.01,-1.06%
197911,0.99,5.21,2.53,-3.29,0.06,-2.12,8.14,-3.72%
197912,0.95,1.79,4.32,-2.1,-0.7,-0.92,4.78,-3.75%
198001,0.8,5.51,1.83,1.75,-1.7,1.64,7.55,-2.71%
198002,0.89,-1.22,-1.57,0.61,0.04,2.68,7.88,-3.14%
198003,1.21,-12.9,-6.93,-1.01,1.46,-1.19,-9.55,7.00%
198004,1.26,3.97,1.05,1.06,-2.1,0.29,-0.43,1.86%
198005,0.81,5.26,2.11,0.38,0.34,-0.31,-1.12,0.98%
198006,0.61,3.06,1.41,-0.76,-0.15,-1.26,1.62,-1.65%
198007,0.53,6.49,3.82,-6.41,4.06,-2.43,0.39,-5.34%
198008,0.64,1.8,4.25,-2.6,2.06,-0.86,3.21,-3.21%
198009,0.75,2.19,0.67,-4.59,1.91,-2.76,5.39,-4.28%
198010,0.95,1.06,2.33,-2.76,1.65,-1.15,7.3,-5.07%
198011,0.96,9.59,-3.31,-8.33,4.5,-5.66,15.22,-10.71%
198012,1.31,-4.52,-0.29,2.79,-1.29,1.24,-6.68,5.65%
198101,1.04,-5.04,3.29,6.72,-3.51,4.33,-7.95,8.89%
198102,1.07,0.57,-0.5,1.02,0.21,2.22,-1.35,1.05%
198103,1.21,3.56,3.02,0.64,-2.24,-0.54,0.74,1.26%
198104,1.08,-2.11,4.59,2.28,0.83,1.24,-0.91,2.30%
198105,1.15,0.11,2.45,-0.42,0.3,-1.53,3.7,-1.21%
198106,1.35,-2.36,-0.96,5.13,-1.37,2.66,-5.81,6.86%
198107,1.24,-1.54,-2.05,-0.5,1.26,-2.54,-2.45,0.16%
198108,1.28,-7.04,-1.81,4.76,-0.32,1.41,-1.15,3.66%
198109,1.24,-7.17,-2.45,5.17,0.08,2.63,1.95,3.75%
198110,1.21,4.92,2.37,-4.21,3.15,-3.01,4.01,-4.83%
198111,1.07,3.36,-1.51,1.83,0.08,0.95,-0.27,3.05%
198112,0.87,-3.65,1.2,0.81,0.22,2.5,1.3,0.54%
198201,0.8,-3.24,-1.14,3.19,-1.49,1.92,1.72,2.41%
198202,0.92,-5.86,0.35,6.05,-3.48,4.56,4.88,4.05%
198203,0.98,-1.87,-0.05,3.81,-1.38,2.49,2.96,2.71%
198204,1.13,3.27,1.09,-2.7,1.57,-0.01,-0.4,-1.99%
198205,1.06,-3.99,0.64,1.75,0.87,-0.3,2.5,2.03%
198206,0.96,-3.09,-0.52,1.53,0.01,2.72,4.96,0.08%
198207,1.05,-3.19,0.95,0.09,1.04,1.55,4.45,-1.07%
