date,RF,Mkt-RF,SMB,HML,RMW,CMA,UMD,IA,ROE,EG,MGMT,PERF,PEAD,FIN
196804,0.43,9.05,6.18,-1.13,2.69,-3.65,5.09,-2.6749,3.6776,-1.8747,-6.3620156,6.39484763,,
196805,0.45,2.28,7,0.85,0.43,-1.92,3.8,-2.2351,2.0131,-0.2809,-2.7187226,3.88670181,,
196806,0.43,0.69,-0.28,0.73,-1.41,2.76,-1.9,2.4165,-0.3072,0.0598,2.91473633,-4.9000501,,
196807,0.48,-2.72,-1.41,5.39,-3.13,3.72,-0.88,2.7389,-1.9663,3.6103,4.16191938,-2.6666346,,
196808,0.42,1.34,2.27,1.01,-0.7,0.48,1.89,0.643,-0.6662,1.5939,-0.285753,2.45056544,,
196809,0.43,4.03,2.81,0.3,-1.99,0.87,-0.65,-0.5693,-3.4099,-1.082,-0.1292692,0.42891016,,
196810,0.44,0.42,-0.42,2.86,-1.32,2.7,-1.46,2.6082,0.4414,2.4953,2.8148368,-1.1100995,,
196811,0.42,5.43,2.39,-0.92,0.43,-2.43,1.75,-1.3424,-0.4038,-0.9692,-3.700427,-1.931346,,
196812,0.43,-3.94,3.52,-0.01,-1.86,1.76,-0.01,2.651,-0.6141,-0.4851,1.96475489,-0.2084797,,
196901,0.53,-1.25,-0.44,1.67,-1.55,1.38,-0.17,1.2085,-0.1173,0.2955,1.9893355,-3.1644742,,
196902,0.46,-5.84,-4.16,0.91,2.07,0.83,-2.36,0.7873,0.9745,2.2835,3.44488026,2.19471254,,
196903,0.46,2.64,-0.45,-0.51,-1.43,-0.35,3.97,0.5026,2.0353,2.5602,0.93345396,5.1775165,,
196904,0.53,1.46,-0.8,-0.03,0.41,0.06,1.13,0.5287,2.0202,-0.1537,-0.5801616,1.6444423,,
196905,0.48,-0.1,-0.11,0.7,-0.95,1.39,1.7,1.5413,0.1962,0.2109,0.87223316,0.92983813,,
196906,0.51,-7.18,-5.45,-1.08,4.32,-1.6,-2.3,-0.6301,3.3315,2.5267,3.33992189,3.44223562,,
196907,0.53,-7,-3.41,1.2,1.48,1.91,1.71,1.9907,2.0776,3.6224,3.69250578,1.78972294,,
196908,0.5,4.68,0.7,-3.79,1.13,-4.02,2.17,-2.654,0.5167,-2.0271,-7.3864813,3.68272197,,
196909,0.62,-2.98,1.29,-3.27,3.39,-0.82,2.52,0.0431,1.7208,2.6463,2.69273732,3.56033885,,
196910,0.6,5.06,3.96,-3.16,0.05,-2.15,-4.31,-1.4818,-1.4493,-1.6776,-2.728483,-3.085977,,
196911,0.52,-3.79,-2.45,-1.19,1.46,0.3,3.66,0.2112,2.8535,2.3906,0.53347389,5.01478422,,
196912,0.64,-2.63,-3.76,-2.86,2.54,-1.81,4.96,-0.6363,3.463,1.7306,1.0300328,4.8490466,,
197001,0.6,-8.1,3.12,3.13,-1.72,3.84,0.6,3.8252,-0.741,3.52,6.40923561,0.60828808,,
197002,0.62,5.13,-2.76,3.93,-2.29,2.76,0.23,1.6171,-2.2721,-0.2221,1.14585394,-3.2495882,,
197003,0.57,-1.06,-2.41,3.99,-1,4.29,-0.36,3.3852,-0.9683,3.2222,7.52818694,-0.1944602,,
197004,0.5,-11,-6.4,6.18,-0.64,6.21,-0.77,5.2928,0.1614,5.757,8.31422042,2.52629205,,
197005,0.53,-6.92,-4.48,3.33,-1.21,3.9,-2.78,3.2098,0.1132,3.9522,5.4276255,-1.3962296,,
